date_dt,Day7_prediction,Day90_prediction,Day180_prediction,Day90,Day180,percentual_increase_7_to_90,absolute_error_90,percentual_error_90
2024-01-31,1540.64,2599.5702426847383,2953.5700870119776,2825.98,3023.98,0.83428964586146,226.4097573152617,0.08709507194598219
2024-02-01,1546.74,2620.2252510224703,2989.442115479648,2515.3,2782.94,0.6261944476770499,104.92525102247009,0.04004436297281156
2024-02-02,1435.1,2423.5802279405975,2774.9427609868962,2383.86,2359.53,0.6611107239913597,39.7202279405974,0.01638907079810149
2024-02-03,1692.68,2864.081304424433,3275.0114060662786,2702.68,2868.68,0.5966869106978281,161.40130442443296,0.056353604269229446
2024-02-04,2056.06,3473.8775414591396,3978.3399427424756,3154.55,3354.85,0.5342694279349826,319.3275414591394,0.09192250954390627
2024-02-05,1846.12,3126.4505224487093,3580.712847594563,3160.4,3395.06,0.7119147184365048,33.949477551290784,0.010858792521271298
2024-02-06,2125.64,3600.430023735343,4131.411383721329,3221.96,3412.98,0.5157599593534183,378.47002373534315,0.10511800569385635
2024-02-07,2621.2,4430.224876841181,5086.973426144824,4117.45,4511.84,0.5708263390813368,312.77487684118114,0.07060022584320697
2024-02-08,2515.42,4257.046524096432,4880.874846840487,4278.86,4379.56,0.7010519118079682,21.81347590356745,0.00512408680057764
2024-02-09,2356.52,3995.289935930313,4563.508457726348,3501.88,3557.1,0.4860387350839374,493.4099359303127,0.12349790474353171
2024-02-10,2274.9,3869.0584114995827,4397.035733537793,4399.5,4809.0,0.9339311618093102,530.4415885004173,0.1370983666009909
2024-02-11,3184.96,5405.882798548005,6123.528841219787,4481.4,4528.9,0.40705063799859326,924.4827985480051,0.17101421414395387
2024-02-12,2799.55,4733.636455384634,5377.259012480337,4926.61,5264.61,0.7597863942419315,192.97354461536543,0.040766448043523286
2024-02-13,2924.54,4940.57688447044,5604.212323877712,4835.73,4974.33,0.6535010634151011,104.84688447044027,0.021221587462792492
2024-02-14,2615.82,4428.751252692252,5009.453349848909,3528.43,3269.39,0.3488810392152364,900.3212526922521,0.20329009269711049
2024-02-15,3060.58,5163.505170508103,5842.1734163791625,4802.16,4838.1,0.5690359343653817,361.34517050810337,0.06998059623760307
2024-02-16,2349.34,3953.854616110691,4475.326490588684,3578.36,3715.72,0.5231341568270237,375.4946161106909,0.09496925217752586
2024-02-17,3484.8,5865.901875633503,6633.420376868977,5114.78,5313.38,0.4677398989898988,751.1218756335029,0.12804883060754976
2024-02-18,3374.62,5664.646030546493,6392.701827933376,4590.54,4728.54,0.36031316118555573,1074.1060305464935,0.1896157367564359
2024-02-19,3411.4,5711.6133833088015,6461.5506887382635,5304.2,5576.2,0.5548455179691621,407.4133833088017,0.07133070044611153
2024-02-20,2760.86,4607.2724940977005,5198.368806218729,4538.53,4754.35,0.6438827032156645,68.74249409770073,0.014920431597168517
2024-02-21,2967.04,4929.09926999505,5556.161881313669,5186.14,5388.24,0.7479171160483177,257.0407300049501,0.05214760667727599
2024-02-22,2582.4,4278.27905506436,4818.463490752925,3563.74,3599.72,0.3800108426270135,714.5390550643606,0.16701553261668
2024-02-23,2540.29,4202.911468712315,4729.71790347248,3816.55,4169.55,0.5024072054765402,386.3614687123145,0.09192710138876364
2024-02-24,2915.85,4821.456032010516,5425.72940940363,4993.21,5290.51,0.7124371967007905,171.7539679894844,0.03562284232173411
2024-02-25,3060.06,5041.547466780714,5670.527941115141,4249.01,4650.67,0.38853813323921765,792.5374667807137,0.15720123077345324
2024-02-26,2971.62,4875.037526543383,5482.747243290142,3935.06,4145.94,0.3242137285386423,939.9775265433832,0.19281441864302298
2024-02-27,2716.95,4454.4173942939115,5009.798115836248,3503.6,3801.96,0.2895342203573861,950.8173942939115,0.21345493925017092
2024-02-28,2071.66,3396.069872445527,3812.9612746373296,2566.08,2678.38,0.2386588532867363,829.989872445527,0.2443971719132643
2024-02-29,2301.1,3750.976545931913,4178.858384678626,3666.4,3830.5,0.5933249315544741,84.57654593191273,0.022547873839317778
2024-03-01,2218.22,3610.379020081062,4013.1441045461547,3231.3,3752.3,0.4567085320662515,379.079020081062,0.1049970149872383
2024-03-02,2508.44,4077.306589976396,4519.003678362193,3766.21,3862.03,0.5014152222098196,311.096589976396,0.07629953330985516
2024-03-03,2493.32,4043.6865226159653,4477.335170519519,3182.32,3190.22,0.2763383761410489,861.3665226159651,0.21301515777704866
2024-03-04,1991.9,3226.873848271951,3571.0045920796147,2735.44,2987.74,0.373281791254581,491.43384827195086,0.15229409991813672
2024-03-05,2385.8,3849.0214246070323,4256.627840027549,3569.06,3775.06,0.49595942660742715,279.9614246070323,0.07273574078263675
2024-03-06,2055.62,3316.759183863016,3673.5356601843473,3043.12,3244.42,0.48039034451892865,273.6391838630161,0.08250197517937062
2024-03-07,1549.28,2499.6140794638773,2773.6895763502603,2142.98,2197.98,0.38321026541361153,356.63407946387724,0.14267565637187038
2024-03-08,1843.0,2981.336576925808,3297.814424445449,2745.28,2932.28,0.4895713510580576,236.0565769258078,0.07917810379169483
2024-03-09,2013.82,3249.7051316704215,3592.280689985263,2918.0,3033.6,0.4489874963998769,331.70513167042145,0.10207237833295896
2024-03-10,2276.8,3677.3391195223835,4065.916552203668,3050.92,3343.72,0.34000351370344334,626.4191195223834,0.17034575794134085
2024-03-11,1992.35,3207.570584411039,3544.459046166086,2867.41,3044.61,0.4392099781664868,340.16058441103905,0.10604929040821029
2024-03-12,1443.72,2321.1114017301093,2562.180092405897,1651.7,1751.34,0.14405840467680714,669.4114017301092,0.28840123797209544
2024-03-13,1788.6,2862.855907037945,3161.018014580987,2628.72,2838.72,0.46970815162697077,234.13590703794534,0.08178403476834227
2024-03-14,1598.1,2554.12094507637,2824.489906637428,2602.47,2921.47,0.6284775671109443,48.349054923629865,0.018929822026178246
2024-03-15,1559.64,2491.569156706326,2754.511782001455,2602.2,2790.72,0.6684619527583286,110.63084329367393,0.0444020760956601
2024-03-16,1637.67,2612.3278347372498,2887.5994303805223,2315.95,2509.95,0.41417379569754575,296.37783473724994,0.11345353779728029
2024-03-17,1878.72,2989.332269641187,3295.854985858251,2895.38,2707.16,0.5411450349173906,93.95226964118683,0.03142918256205224
2024-03-18,1830.5,2908.403289663005,3216.6179430632596,2664.31,2937.31,0.4555094236547391,244.09328966300518,0.08392690605548316
2024-03-19,2085.84,3302.715671899525,3650.385490369909,3005.47,2993.49,0.44089191884324763,297.2456718995254,0.09000038193677369
2024-03-20,1246.65,1978.3640867613988,2184.5375185101616,1983.09,1841.29,0.5907351702562866,4.7259132386011515,0.002388798538259718
2024-03-21,1520.22,2407.321141431914,2656.5516154878683,2124.72,2260.72,0.3976398152898921,282.60114143191413,0.11739237302747998
2024-03-22,1125.99,1787.1897640119084,1965.7837845990812,1767.25,1792.57,0.5695077220934467,19.939764011908437,0.01115704913570419
2024-03-23,1637.88,2601.641039339934,2858.61621498121,2319.61,2710.61,0.4162270740225169,282.03103933993407,0.10840505476170093
2024-03-24,1725.06,2750.648263564189,3018.977896066396,2802.58,2869.18,0.6246275491866949,51.93173643581076,0.018879817213895433
2024-03-25,978.06,1563.094186929442,1713.0774691469571,1433.85,1523.45,0.4660143549475492,129.2441869294421,0.08268483627549705
2024-03-26,1025.41,1642.7182479892454,1803.7155172987632,1215.59,1332.79,0.18546727650403236,427.12824798924544,0.2600130902009934
