,date,platform,marketing_channel,campaign_id,source_country,countries,total_impressions,total_clicks,total_app_installs,total_conversions,total_marketing_spend,total_revenue,ROAS,CPA,CPI,CPM,CR,CTR,platform_campaign
27,2023-11-02,android,Channel E,1769120303953937,DE,DE,268851,399,59,7,436.22,261.75,0.6000412635825959,62.31714285714286,7.393559322033899,1.6225344149733496,1.7543859649122806,0.1484093419775266,Channel E - android - DE - 1769120303953937
28,2023-11-02,iOS,Channel B,6492364605815,DE,DE,74870,248,1,0,529.05,0.0,0.0,,529.05,7.066248163483371,0.0,0.33124081741685585,Channel B - iOS - DE - 6492364605815
29,2023-11-02,iOS,Channel B,6519038436815,DE,DE,75761,319,73,11,526.4,474.57,0.9015387537993921,47.85454545454545,7.210958904109589,6.948165942899381,3.4482758620689653,0.4210609680442444,Channel B - iOS - DE - 6519038436815
30,2023-11-02,ios,Channel A,20367976937,US,US,100441,187,43,0,304.55,0.0,0.0,,7.082558139534884,3.0321283141346664,0.0,0.18617895082685357,Channel A - ios - US - 20367976937
31,2023-11-02,ios,Channel C,1023570237,DE,DE,332,11,8,0,16.65,0.0,0.0,,2.08125,50.150602409638545,0.0,3.313253012048193,Channel C - ios - DE - 1023570237
32,2023-11-02,ios,Channel C,1023585396,US,US,3579,148,59,5,307.72,113.19,0.3678343949044586,61.544000000000004,5.215593220338984,85.97932383347305,3.3783783783783785,4.135233305392568,Channel C - ios - US - 1023585396
33,2023-11-02,ios,Channel C,1023655231,US,US,219,86,36,8,113.8,207.53,1.8236379613356766,14.225,3.161111111111111,519.634703196347,9.30232558139535,39.26940639269406,Channel C - ios - US - 1023655231
34,2023-11-02,ios,Channel C,1023678230,DE,DE,154,40,26,1,50.98,50.65,0.9935268732836406,50.98,1.9607692307692306,331.038961038961,2.5,25.97402597402597,Channel C - ios - DE - 1023678230
35,2023-11-02,ios,Channel C,1023835841,DE,DE,1182,558,380,55,484.45,1926.92,3.9775415419547944,8.808181818181819,1.2748684210526315,409.85617597292725,9.85663082437276,47.20812182741117,Channel C - ios - DE - 1023835841
36,2023-11-02,ios,Channel C,1256454484,US,US,573,34,12,1,42.7,18.86,0.4416861826697892,42.7,3.5583333333333336,74.52006980802793,2.941176470588235,5.93368237347295,Channel C - ios - US - 1256454484
37,2023-11-02,ios,Channel C,1410804754,US,US,136,10,1,0,29.58,0.0,0.0,,29.58,217.5,0.0,7.352941176470589,Channel C - ios - US - 1410804754
38,2023-11-02,ios,Channel C,1411644825,US,US,14,6,1,0,10.85,0.0,0.0,,10.85,775.0,0.0,42.857142857142854,Channel C - ios - US - 1411644825
39,2023-11-02,ios,Channel C,1412537821,DE,DE,1759,486,329,34,760.06,969.48,1.2755308791411206,22.35470588235294,2.3102127659574467,432.097782831154,6.995884773662551,27.629334849346222,Channel C - ios - DE - 1412537821
40,2023-11-03,android,Channel A,12804450204,DE,DE,3917,499,0,0,107.51,0.0,0.0,,,27.44702578503957,0.0,12.73934133265254,Channel A - android - DE - 12804450204
41,2023-11-03,android,Channel A,13570876685,DE,DE,59007,1250,585,57,1203.89,1776.51,1.4756414622598408,21.12087719298246,2.057931623931624,20.402494619282457,4.5600000000000005,2.1183927330655683,Channel A - android - DE - 13570876685
42,2023-11-03,android,Channel B,6154573222815,DE,DE,971,3,2,0,20.79,0.0,0.0,,10.395,21.41091658084449,0.0,0.30895983522142123,Channel B - android - DE - 6154573222815
43,2023-11-03,android,Channel B,6318246682215,US,US,3630,25,9,1,47.05,37.57,0.7985122210414454,47.05,5.227777777777778,12.961432506887052,4.0,0.6887052341597797,Channel B - android - US - 6318246682215
44,2023-11-03,android,Channel B,6349421515615,DE,DE,130306,520,255,11,881.6,310.01,0.35164473684210523,80.14545454545454,3.4572549019607846,6.765613248814329,2.1153846153846154,0.39906067257071814,Channel B - android - DE - 6349421515615
45,2023-11-03,android,Channel B,6411365672615,US,US,1448,6,3,2,15.34,56.35,3.6734028683181226,7.67,5.113333333333333,10.593922651933703,33.33333333333333,0.4143646408839779,Channel B - android - US - 6411365672615
46,2023-11-03,android,Channel E,1763164645253137,DE,DE,44640,381,24,0,64.94,0.0,0.0,,2.705833333333333,1.454749103942652,0.0,0.853494623655914,Channel E - android - DE - 1763164645253137
47,2023-11-03,android,Channel E,1769120303953937,DE,DE,203710,219,41,2,419.13,86.16,0.20556867797580702,209.565,10.222682926829268,2.0574836777772325,0.91324200913242,0.10750576800353444,Channel E - android - DE - 1769120303953937
