date_dt,cost_sum_amount,day7_prediction,day90_prediction,day180_prediction,recycle_worths_90day,recycle_worths_180day,percentual_increase_14_to_90,day7_data,error_90,absolute_error_90,percentual_error_90
2023-09-23,10088.13,0.3437,9180.744368055548,89374963.68785228,9736.625,13024.0548,1.2773493598289758,3467.2902809999996,89365227.06285228,555.880631944452,0.06054853611637874
2023-09-24,10184.81,0.3165,8511.87445458091,83657610.22152857,7914.0218,9359.8012,0.9632381810422614,3223.492365,83649696.19972858,597.8526545809091,0.07023748503000506
2023-09-25,9761.01,0.3686,9504.26543128038,89524236.87027372,6570.7801,7508.213000000001,0.5833758669489868,3597.908286,89517666.09017372,2933.4853312803807,0.3086493482837413
2023-09-26,10025.06,0.3354,8875.023810148574,85858603.58123218,8446.7511,9553.0019,0.8848449426682983,3362.4051239999994,85850156.83013217,428.27271014857433,0.04825595055405319
2023-09-27,10587.97,0.4218,11715.016023596361,119696899.87010004,10890.018300000002,14666.580600000001,0.8817317999646778,4466.005746,119686009.85180004,824.9977235963597,0.07042224457351581
2023-09-28,10873.34,0.3357,9591.687255852323,100643398.02182007,8709.9661,9566.8734,0.8347971110954382,3650.180238,100634688.05572006,881.7211558523231,0.09192555306829309
2023-09-29,10238.51,0.3422,9215.414639872324,91049790.92142242,7207.0293,8790.5612,0.6438981801845132,3503.6181220000003,91042583.89212242,2008.385339872324,0.21793759894239
2023-09-30,9733.85,0.4401,11207.946155316293,105278090.3499881,13527.777999999998,17177.467,1.1966694450249602,4283.8673850000005,105264562.5719881,2319.8318446837056,0.20698099478139748
2023-10-01,11338.96,0.3716,10967.775161771542,120010453.11362979,12388.1142,16641.552200000002,1.3628810074737345,4213.557535999999,119998064.99942979,1420.3390382284579,0.1295011082264966
2023-10-02,9801.23,0.4048,10340.409024686734,97801521.6949543,9506.8857,11241.4312,0.9245781606763326,3967.537904,97792014.8092543,833.5233246867338,0.08060835143917197
2023-10-03,10871.32,0.3607,10198.536399459803,106991048.3846192,9054.9504,11779.8287,0.911963390440857,3921.285124,106981993.43421921,1143.5859994598031,0.11213236435773045
2023-10-04,8798.79,0.4172,9525.521405108568,80879605.29711328,9487.381399999998,10911.6717,1.0607533091821968,3670.8551880000005,80870117.91571328,38.14000510856931,0.004003980830709667
2023-10-05,10120.21,0.2763,7247.136884105389,70775558.01508597,7326.3707,9536.202000000001,0.862134284249693,2796.2140229999995,70768231.64438596,79.23381589461133,0.010933119818447063
2023-10-06,11340.36,0.3979,11700.30880253856,128041713.94433773,10431.6951,12707.6547,0.837544401721776,4512.329244,128031282.24923773,1268.6137025385597,0.10842565986491866
2023-10-07,11855.94,0.3276,10009.703216802396,114520835.32974863,8715.4586,10152.1752,0.7813107758562458,3884.005944,114512119.87114863,1294.2446168023962,0.12929900005725076
2023-10-08,13945.19,0.3334,11980.456775515646,161222304.91060567,10470.619,12295.9902,0.8241277556790303,4649.326346,161211834.29160568,1509.8377755156453,0.12602505929500848
2023-10-09,15785.78,0.2909,11836.85790064392,180314143.49594784,14746.800000000001,19996.0975,1.518612701231934,4592.083402,180299396.69594783,2909.9420993560816,0.2458373770963139
2023-10-10,14304.32,0.2552,9429.392864861475,130160216.09163095,9795.6276,11979.4188,1.050600769737207,3650.4624639999997,130150420.46403095,366.23473513852514,0.03883969417620669
2023-10-11,12197.37,0.3335,10507.642449668936,123679806.68879725,9380.3026,10956.2287,0.8968302804585426,4067.8228950000007,123670426.38619725,1127.3398496689351,0.10728761042915523
2023-10-12,12760.27,0.3396,11203.398845250098,137954850.3866717,14256.8629,21406.5889,1.6100142286228956,4333.387692,137940593.5237717,3053.464054749902,0.2725480094859319
2023-10-13,14694.95,0.4945,18755.72090485074,265967877.5788606,19916.897699999998,24599.1892,1.2263704307066892,7266.6527750000005,265947960.6811606,1161.1767951492584,0.061910539245065566
2023-10-14,17407.38,0.3299,14767.146807965999,248060329.2419794,13776.5522,18253.173600000002,0.941194834746209,5742.694662000001,248046552.6897794,990.5946079659989,0.06708097514352819
2023-10-15,22374.09,0.3302,19018.15411616846,410620905.61500776,17506.4379,20389.2575,0.8682381536617005,7387.924518,410603399.17710775,1511.716216168461,0.07948806213970373
2023-10-16,19474.79,0.3459,17387.12305496761,326759200.2426648,18288.2638,22243.4141,1.1566257265888966,6736.329861,326740911.9788648,901.1407450323895,0.05182805356490117
2023-10-17,18569.89,0.3025,14437.068171029177,258711450.98346505,13497.5062,16222.6574,0.665749537089064,5617.3917249999995,258697953.47726506,939.5619710291776,0.06507983199210722
2023-10-18,18107.54,0.3096,14472.588345562423,252890768.3378272,14426.2185,18429.8073,0.968450243056805,5606.094384,252876342.11932722,46.36984556242169,0.0032039773712377847
2023-10-19,18781.32,0.3467,16837.199752683136,305156967.1829956,13814.1129,17518.863100000002,0.7270462470925407,6511.483644,305143153.0700956,3023.0868526831364,0.17954807789231012
2023-10-20,13706.09,0.3906,13839.038128073782,183040333.5234224,14506.3375,18869.2711,1.1234760285978986,5353.598754,183025827.18592238,667.2993719262176,0.048218623704239856
2023-10-21,22127.18,0.3943,22532.834991115313,481137512.4071522,17101.7847,20037.8186,0.6208439536106002,8724.747073999999,481120410.6224522,5431.050291115313,0.24102827244138492
2023-10-22,20781.0,0.3293,17628.20214287862,353510060.32557,17258.077,23727.6862,0.9810212627557234,6843.1833,353492802.24856997,370.12514287861995,0.020996193478989678
2023-10-23,24779.04,0.353,22535.51974182667,538864246.0248898,20577.923,23935.648,0.8949865051923637,8747.001119999999,538843668.1018898,1957.59674182667,0.08686716633356834
2023-10-24,22945.46,0.2949,17461.617955545018,386641586.36254156,22540.7172,28658.3802,1.63000187337917,6766.616153999999,386619045.6453416,5079.099244454981,0.29087220081127074
2023-10-25,14923.4,0.3459,13321.004700665226,191836867.69566065,17762.6548,31751.595500000003,1.7049055328065446,5162.004059999999,191819105.04086065,4441.6500993347745,0.33343206455838625
2023-10-26,17366.44,0.3639,16230.162063189577,271995030.9125349,16733.4337,20450.816300000002,0.847175618267037,6319.647516,271978297.47883487,503.27163681042475,0.0310084172204206
2023-10-27,24491.99,0.2684,16776.362264084237,396505469.420037,15854.411200000002,19678.613400000002,0.9109210621200896,6573.650116000001,396489615.008837,921.9510640842345,0.05495536216799504
2023-10-28,16169.62,0.279,11511.129329155658,179616016.4774863,12078.7613,14802.3602,1.077733701109271,4511.323980000001,179603937.7161863,567.6319708443425,0.0493115796559275
